CustomerID,Recency,Frequency,Monetary,AOV,AvgItemsPerOrder,TenureDays,Country,CountryGroup,Churn,Churn_Probability,Churn_Prob_Pct,Risk_Tier,Recommended_Action,Action_Channel
14439,229,1,2661.24,2661.24,526.0,229,Greece,Other,1,0.8194236781663983,81.9,High Risk,"Personalized win-back offer, high-priority outreach, targeted voucher.",Direct Outreach / SMS / VIP Account Manager
14932,275,1,363.53,363.53,80.0,275,Channel Islands,Other,1,0.8098594424803197,81.0,High Risk,"Personalized win-back offer, high-priority outreach, targeted voucher.",Direct Outreach / SMS / VIP Account Manager
12725,280,1,427.8,427.8,164.0,280,Italy,Other,1,0.8089081124096329,80.9,High Risk,"Personalized win-back offer, high-priority outreach, targeted voucher.",Direct Outreach / SMS / VIP Account Manager
12435,177,1,3978.9900000000002,3978.9900000000002,879.0,177,Denmark,Other,0,0.8063917884014751,80.6,High Risk,"Personalized win-back offer, high-priority outreach, targeted voucher.",Direct Outreach / SMS / VIP Account Manager
12797,275,1,254.03,254.03,118.0,275,Portugal,Other,1,0.8046165289112195,80.5,High Risk,"Personalized win-back offer, high-priority outreach, targeted voucher.",Direct Outreach / SMS / VIP Account Manager
12785,273,1,311.95,311.95,131.0,273,Portugal,Other,1,0.8043273962978008,80.4,High Risk,"Personalized win-back offer, high-priority outreach, targeted voucher.",Direct Outreach / SMS / VIP Account Manager
12764,226,1,1693.88,1693.88,386.0,226,Lebanon,Other,1,0.8012240361693542,80.1,High Risk,"Personalized win-back offer, high-priority outreach, targeted voucher.",Direct Outreach / SMS / VIP Account Manager
12515,262,1,383.7,383.7,131.0,262,Italy,Other,1,0.8005809516973065,80.1,High Risk,"Personalized win-back offer, high-priority outreach, targeted voucher.",Direct Outreach / SMS / VIP Account Manager
12402,232,1,225.6,225.6,94.0,232,Belgium,Other,1,0.7824620311612072,78.2,High Risk,"Personalized win-back offer, high-priority outreach, targeted voucher.",Direct Outreach / SMS / VIP Account Manager
12578,239,1,1608.66,1608.66,748.0,239,Italy,Other,0,0.7821136277910193,78.2,High Risk,"Personalized win-back offer, high-priority outreach, targeted voucher.",Direct Outreach / SMS / VIP Account Manager
15221,275,1,403.25,403.25,43.0,275,United Kingdom,United Kingdom,1,0.777269096998995,77.7,High Risk,"Personalized win-back offer, high-priority outreach, targeted voucher.",Direct Outreach / SMS / VIP Account Manager
12591,226,1,452.84999999999997,452.84999999999997,228.0,226,Italy,Other,1,0.7765906663652102,77.7,High Risk,"Personalized win-back offer, high-priority outreach, targeted voucher.",Direct Outreach / SMS / VIP Account Manager
